oldtrade,buy,1
walk,2758,1334,17
walk,2748,1322,0
walk,2739,1312,10
walk,2729,1302,21
walk,2711,1285,0
walk,2700,1278,1
walk,2689,1270,2
walk,2675,1260,2
walk,2663,1252,2
walk,2652,1239,2
walk,2639,1221,2
walk,2628,1202,19
walk,2623,1189,38
walk,2617,1176,55
walk,2611,1161,67
walk,2608,1154,69
walk,2604,1147,68
walk,2601,1141,64
walk,2595,1128,48
walk,2591,1119,33
walk,2585,1109,12
walk,2579,1097,-20
walk,2569,1081,-81
walk,2563,1069,-123
walk,2557,1058,-155
walk,2550,1042,-201
walk,2544,1029,-229
walk,2539,1018,-248
walk,2531,1001,-272
walk,2526,990,-278
walk,2520,977,-282
walk,2513,963,-297
walk,2506,946,-305
walk,2501,934,-309
walk,2497,922,-306
walk,2492,911,-303
walk,2487,899,-301
walk,2482,888,-296
walk,2476,876,-294
walk,2472,867,-283
walk,2467,855,-269
walk,2462,843,-261
walk,2457,831,-254
walk,2452,821,-239
walk,2446,806,-225
walk,2441,794,-209
walk,2433,776,-199
walk,2426,762,-196
walk,2419,751,-190
walk,2410,736,-197
walk,2404,725,-197
walk,2397,714,-204
walk,2388,699,-218
walk,2380,688,-224
walk,2370,674,-224
walk,2357,657,-237
walk,2348,646,-219
walk,2339,639,-207
walk,2330,633,-192
walk,2319,627,-181
walk,2308,622,-166
walk,2294,614,-152
walk,2280,606,-143
walk,2266,599,-138
walk,2249,592,-138
walk,2233,587,-119
walk,2214,581,-109
walk,2201,577,-88
walk,2187,573,-65
walk,2171,568,-54
walk,2157,564,-45
walk,2145,560,-30
walk,2133,556,-27
walk,2123,553,-24
walk,2110,549,-21
walk,2102,548,-20
walk,2088,544,-28
walk,2076,541,-34
walk,2065,539,-33
walk,2051,537,-40
walk,2044,536,-46
walk,2032,535,-46
walk,2024,535,-44
walk,2012,534,-47
walk,1999,531,-62
walk,1984,528,-76
walk,1971,525,-86
walk,1958,520,-96
walk,1946,513,-94
walk,1937,508,-87
walk,1927,499,-77
walk,1921,492,-65
walk,1912,479,-55
walk,1905,467,-52
walk,1892,442,-53
walk,1887,433,-50
walk,1879,419,-48
walk,1873,405,-40
walk,1868,392,-30
walk,1859,370,-39
walk,1854,355,-37
walk,1850,336,-31
walk,1849,325,-23
walk,1849,309,-21
walk,1849,291,-19
walk,1849,279,-4
walk,1850,266,2
walk,1852,248,0
walk,1852,230,0
walk,1853,218,14
walk,1853,196,15
walk,1852,178,17
walk,1850,162,17
walk,1850,148,17
walk,1849,135,17
walk,1847,122,18
walk,1842,110,26
walk,1834,99,38
walk,1825,87,53
walk,1814,72,65
walk,1806,63,73
walk,1798,54,90
walk,1787,44,93
walk,1775,34,79
walk,1766,27,72
walk,1752,17,57
walk,1741,10,47
walk,1735,6,51
walk,1724,1,49
walk,1711,1,34
walk,1700,0,26
walk,1688,-1,27
walk,1677,-2,30
walk,1668,-3,30
walk,1649,-7,-11
walk,1637,-8,-17
walk,1622,-11,-17
walk,1609,-13,-20
walk,1595,-15,-22
walk,1586,-16,-20
walk,1579,-17,-19
walk,1573,-17,10
wait,10
teleport,Boat Ticket Seller Salmai,Boat Ticket Seller Rahan
wait,10
walk,1035,-45,-22
walk,1021,-42,-21
walk,1003,-37,-19
walk,990,-34,-8
walk,978,-30,2
walk,959,-26,-2
walk,938,-23,29
walk,925,-21,56
walk,914,-17,47
walk,896,-12,-1
walk,884,-8,-12
walk,870,-7,-6
walk,858,-6,0
walk,839,-5,-5
walk,824,-8,-5
walk,811,-10,3
walk,799,-12,4
walk,783,-12,0
walk,767,-9,13
walk,741,-4,-1
walk,723,0,-8
walk,708,1,-3
walk,696,3,3
walk,685,6,9
walk,667,9,17
walk,655,12,31
walk,637,16,36
walk,620,20,39
walk,606,23,55
walk,597,25,67
walk,585,28,78
walk,558,33,38
walk,538,35,21
walk,525,37,19
walk,516,38,21
walk,501,40,6
walk,486,41,1
walk,468,44,0
walk,452,46,1
walk,437,48,7
walk,420,48,11
walk,401,48,11
walk,385,48,11
walk,366,48,11
walk,352,48,11
walk,335,48,11
walk,321,48,13
walk,305,48,11
walk,290,48,11
walk,281,48,27
walk,274,47,61
walk,267,47,110
walk,254,47,147
walk,247,47,188
walk,241,47,229
walk,227,48,244
walk,213,48,243
walk,200,54,250
walk,185,61,243
walk,171,68,243
walk,160,75,243
walk,154,81,243
walk,148,87,243
oldtrade,sell
oldtrade,buy,1
walk,158,73,243
walk,176,64,243
walk,192,58,250
walk,209,49,243
walk,228,47,244
walk,236,47,244
walk,248,48,181
walk,259,47,147
walk,278,47,35
walk,281,47,27
walk,296,47,11
walk,315,48,12
walk,333,48,11
walk,351,48,11
walk,365,48,11
walk,381,48,11
walk,397,48,11
walk,411,48,11
walk,425,48,11
walk,436,48,7
walk,460,46,0
walk,479,43,1
walk,497,42,2
walk,515,40,14
walk,535,38,17
walk,549,37,23
walk,563,37,36
walk,576,36,54
walk,596,35,61
walk,623,34,41
walk,633,33,46
walk,646,32,45
walk,662,31,23
walk,682,27,14
walk,699,24,13
walk,717,21,11
walk,735,17,-8
walk,758,10,-12
walk,774,5,-6
walk,786,-1,3
walk,798,-8,6
walk,815,-14,0
walk,836,-20,7
walk,848,-21,37
walk,858,-24,57
walk,877,-26,47
walk,893,-31,35
walk,906,-34,45
walk,923,-36,41
walk,941,-37,12
walk,958,-38,-5
walk,975,-41,-6
walk,989,-44,-17
walk,1005,-46,-18
walk,1019,-48,-20
walk,1032,-50,-22
walk,1047,-52,-22
walk,1066,-55,-30
walk,1071,-57,-30
wait,10
teleport,Boat Ticket Seller Rahan,Boat Ticket Seller Salmai
wait,10
walk,1611,-3,-20
walk,1633,0,-18
walk,1657,2,-2
walk,1671,1,23
walk,1697,1,25
walk,1714,1,37
walk,1729,1,52
walk,1747,10,52
walk,1762,20,71
walk,1777,31,80
walk,1790,42,92
walk,1799,54,89
walk,1808,65,71
walk,1816,74,64
walk,1824,85,55
walk,1832,98,40
walk,1840,111,25
walk,1846,127,18
walk,1850,140,17
walk,1851,156,17
walk,1853,173,17
walk,1855,190,15
walk,1855,206,16
walk,1855,219,13
walk,1854,237,-2
walk,1853,250,2
walk,1853,264,3
walk,1852,274,6
walk,1851,292,-18
walk,1850,306,-21
walk,1850,320,-22
walk,1856,351,-34
walk,1861,364,-35
walk,1870,380,-26
walk,1875,392,-23
walk,1883,413,-47
walk,1887,423,-49
walk,1894,437,-54
walk,1898,448,-50
walk,1905,464,-49
walk,1913,479,-55
walk,1920,490,-61
walk,1930,502,-80
walk,1938,509,-88
walk,1954,517,-98
walk,1970,521,-86
walk,1990,523,-71
walk,2007,525,-60
walk,2020,527,-53
walk,2034,530,-49
walk,2048,533,-49
walk,2065,539,-33
walk,2081,543,-32
walk,2092,547,-24
walk,2106,551,-19
walk,2121,556,-23
walk,2133,559,-27
walk,2144,562,-30
walk,2157,565,-45
walk,2169,569,-53
walk,2179,572,-58
walk,2191,575,-70
walk,2207,579,-100
walk,2218,583,-112
walk,2226,585,-114
walk,2236,588,-122
walk,2245,591,-134
walk,2255,594,-141
walk,2263,598,-138
walk,2272,602,-139
walk,2283,609,-144
walk,2295,615,-152
walk,2311,625,-170
walk,2324,635,-190
walk,2340,646,-213
walk,2353,657,-240
walk,2362,666,-233
walk,2368,673,-224
walk,2376,682,-224
walk,2384,692,-222
walk,2390,701,-218
walk,2397,711,-206
walk,2405,726,-197
walk,2410,734,-197
walk,2413,740,-197
walk,2418,748,-192
walk,2423,758,-193
walk,2428,768,-197
walk,2433,779,-199
walk,2438,789,-205
walk,2442,799,-215
walk,2447,812,-228
walk,2451,824,-241
walk,2456,838,-258
walk,2459,845,-262
walk,2465,859,-275
walk,2470,871,-287
walk,2476,884,-296
walk,2481,894,-297
walk,2487,907,-304
walk,2494,923,-308
walk,2500,937,-309
walk,2504,948,-307
walk,2510,962,-298
walk,2516,976,-286
walk,2525,995,-280
walk,2531,1008,-268
walk,2536,1019,-251
walk,2541,1030,-237
walk,2545,1039,-219
walk,2548,1046,-197
walk,2553,1057,-167
walk,2557,1065,-144
walk,2561,1075,-114
walk,2565,1084,-80
walk,2569,1093,-43
walk,2574,1104,-10
walk,2578,1114,15
walk,2584,1124,37
walk,2589,1135,54
walk,2596,1148,69
walk,2603,1161,72
walk,2610,1174,64
walk,2619,1190,42
walk,2626,1202,21
walk,2638,1218,0
walk,2647,1229,2
walk,2657,1241,2
walk,2670,1252,2
walk,2682,1264,2
walk,2692,1275,2
walk,2701,1286,2
walk,2707,1296,0
walk,2713,1306,0
walk,2719,1321,0
walk,2722,1333,-3
walk,2726,1349,-7
walk,2731,1367,-7
walk,2736,1382,-8
walk,2743,1398,-6
walk,2748,1407,0
walk,2762,1424,0
walk,2772,1436,21
walk,2783,1448,67
walk,2787,1454,88
walk,2790,1462,96
walk,2795,1477,73
walk,2803,1492,54
walk,2816,1505,32
walk,2828,1518,31
walk,2835,1529,31
walk,2842,1541,29
walk,2850,1553,21
walk,2859,1560,25
walk,2867,1565,21
walk,2878,1574,-45
walk,2894,1587,-121
walk,2906,1597,-116
walk,2914,1603,-62
walk,2931,1613,-36
walk,2942,1625,-14
walk,2948,1636,3
walk,2954,1654,-5
walk,2959,1673,-32
walk,2965,1691,-38
walk,2971,1706,-25
walk,2980,1716,-16
walk,2993,1727,-22
walk,3006,1739,-33
walk,3016,1750,-52
walk,3026,1764,-61
walk,3038,1777,-41
walk,3047,1786,-8
walk,3056,1794,15
walk,3069,1806,0
walk,3081,1816,-5
walk,3094,1824,-9
walk,3107,1828,-2
walk,3121,1831,0
walk,3131,1835,0
walk,3143,1839,0
walk,3155,1844,0
walk,3169,1850,0
walk,3184,1855,0
walk,3199,1861,0
walk,3215,1865,0
walk,3233,1868,0
walk,3247,1869,-2
walk,3262,1872,-6
walk,3277,1875,-10
walk,3291,1877,-11
walk,3305,1878,-11
walk,3320,1881,-6
walk,3337,1884,-10
walk,3349,1886,-17
walk,3360,1889,-21
walk,3370,1891,-19
walk,3379,1892,-25
walk,3390,1894,-40
walk,3400,1899,-46
walk,3408,1908,-56
walk,3418,1918,-75
walk,3428,1930,-85
walk,3434,1944,-84
walk,3442,1961,-87
walk,3444,1975,-92
walk,3445,1992,-99
walk,3445,2010,-101
walk,3444,2029,-101
walk,3442,2048,-101
walk,3441,2061,-103
walk,3439,2073,-103
walk,3437,2080,-102
walk,3435,2089,-102
walk,3433,2098,-103
walk,3432,2107,-104
walk,3439,2110,-105
walk,3449,2108,-105
walk,3460,2107,-104
walk,3470,2105,-105
walk,3476,2103,-106
walk,3483,2096,-106
walk,3489,2089,-106
walk,3494,2080,-106
